DT_GERACAO;HH_GERACAO;CD_PLEITO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_URNA_ESPERADA;CD_CARGA_URNA_ESPERADA;CD_FLASHCARD_URNA_ESPERADA;DT_CARGA_URNA_ESPERADA;ST_CORRESP_ALTERADA
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1176959;1,54E+23;23C345C4;27/09/2018 09:49;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1175789;3,25E+23;23C345C4;27/09/2018 11:49;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1174553;2,45E+23;23C345C4;27/09/2018 09:41;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1105693;9,72E+23;23C345C4;27/09/2018 11:38;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1104820;7,09E+23;23C345C4;27/09/2018 10:52;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1101091;5,07E+23;23C345C4;27/09/2018 10:44;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1072106;7,90E+23;23C345C4;27/09/2018 11:28;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1071674;5,78E+23;23C345C4;27/09/2018 10:38;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1107252;3,97E+23;67F57686;26/09/2018 17:57;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1106174;3,67E+23;67F57686;26/09/2018 18:07;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1105834;6,90E+23;67F57686;26/09/2018 17:43;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104778;6,80E+23;67F57686;20/10/2018 14:41;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104748;4,98E+23;67F57686;27/09/2018 15:03;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104381;6,10E+23;67F57686;26/09/2018 18:12;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104090;1,05E+23;67F57686;21/10/2018 10:41;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1103250;7,81E+23;67F57686;21/10/2018 10:10;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1101968;5,39E+23;67F57686;27/09/2018 14:53;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1101393;4,88E+23;67F57686;26/09/2018 18:20;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1101320;9,44E+22;67F57686;26/09/2018 18:02;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1056154;6,60E+23;67F57686;27/09/2018 11:39;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1015902;2,36E+23;67F57686;20/10/2018 11:01;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1015704;7,51E+23;67F57686;26/09/2018 17:48;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1009099;1,55E+23;67F57686;26/09/2018 17:53;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1005748;3,07E+23;67F57686;20/10/2018 14:21;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1193722;3,79E+23;C050F90C;27/09/2018 10:57;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1192281;2,68E+23;C050F90C;27/09/2018 10:28;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1106834;3,79E+23;E58BAE0F;27/09/2018 10:09;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1106451;6,01E+23;C050F90C;27/09/2018 10:45;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1105398;3,48E+23;C050F90C;27/09/2018 10:12;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1104882;8,74E+23;E58BAE0F;27/09/2018 10:52;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1104488;9,75E+23;C050F90C;27/09/2018 10:11;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1103744;1,97E+23;E58BAE0F;27/09/2018 10:58;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1103190;8,03E+23;C050F90C;27/09/2018 10:23;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1103013;3,58E+23;C050F90C;27/09/2018 10:34;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1101730;6,11E+23;C050F90C;27/09/2018 10:40;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1101701;8,43E+23;E58BAE0F;27/09/2018 10:38;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1101418;8,94E+23;E58BAE0F;27/09/2018 10:15;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1099189;5,55E+22;E58BAE0F;27/09/2018 10:31;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1081344;4,99E+21;C050F90C;27/09/2018 10:17;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1079784;3,79E+23;E58BAE0F;27/09/2018 10:45;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1014767;2,88E+23;E58BAE0F;27/09/2018 10:20;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1009938;7,32E+23;C050F90C;27/09/2018 10:51;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1211566;5,72E+23;A38EE9E5;26/09/2018 13:41;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1211221;1,66E+22;A38EE9E5;27/09/2018 10:46;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1195253;6,49E+21;A38EE9E5;26/09/2018 13:58;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1163039;4,00E+23;3EE74041;27/09/2018 11:05;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1105945;7,94E+23;3EE74041;26/09/2018 13:42;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1104870;7,54E+23;3EE74041;26/09/2018 13:54;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1104794;7,34E+23;A38EE9E5;26/09/2018 14:24;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1103627;4,71E+23;3EE74041;26/09/2018 13:33;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1103259;5,12E+23;3EE74041;27/09/2018 10:46;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1101288;5,82E+23;3EE74041;26/09/2018 13:27;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1100816;4,71E+23;A38EE9E5;27/09/2018 10:53;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1077144;2,59E+23;A38EE9E5;26/09/2018 14:06;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1070975;3,09E+23;3EE74041;26/09/2018 13:47;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1033699;4,11E+23;A38EE9E5;26/09/2018 13:52;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1031579;8,25E+23;3EE74041;26/09/2018 14:14;*
27/10/2018;14:41:59;229;AC;1511;PLÁCIDO DE CASTRO;8;1010083;1,58E+23;3EE74041;26/09/2018 14:00;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1192839;2,16E+23;8A75AE2D;28/09/2018 15:15;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1190764;8,02E+23;8A75AE2D;28/09/2018 14:14;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1179059;3,67E+23;8A75AE2D;28/09/2018 14:51;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1159859;3,98E+23;8A75AE2D;28/09/2018 15:53;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1136941;1,45E+23;2C4E4BF6;28/09/2018 15:11;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1106789;5,59E+23;2C4E4BF6;28/09/2018 15:02;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1105850;5,41E+22;8A75AE2D;28/09/2018 15:25;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1104876;2,76E+23;2C4E4BF6;28/09/2018 14:41;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1104873;5,49E+23;8A75AE2D;28/09/2018 14:58;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1104407;7,81E+23;8A75AE2D;28/09/2018 14:31;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1103319;8,44E+22;2C4E4BF6;28/09/2018 14:48;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1103082;3,67E+23;2C4E4BF6;28/09/2018 14:58;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1024892;1,37E+22;8A75AE2D;28/09/2018 14:45;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1023814;1,85E+23;8A75AE2D;28/09/2018 14:37;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1014927;8,93E+23;8A75AE2D;28/09/2018 15:10;*
27/10/2018;14:41:59;229;AC;1490;XAPURI;2;1011077;3,17E+23;2C4E4BF6;28/09/2018 15:22;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1205955;7,01E+23;5EC4D04A;27/09/2018 18:14;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1193993;2,36E+23;0C3BC33C;27/09/2018 17:31;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1193832;5,39E+23;C044759D;27/09/2018 18:01;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1193725;2,16E+23;C044759D;27/09/2018 15:55;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1192427;3,37E+23;C044759D;28/09/2018 09:13;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1188929;5,90E+23;0C3BC33C;27/09/2018 18:05;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1181920;5,50E+23;6F3A5A0A;27/09/2018 17:38;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1176830;1,96E+23;0C3BC33C;28/09/2018 10:06;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1175732;8,43E+23;C044759D;27/09/2018 17:25;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1125005;9,44E+23;5EC4D04A;27/09/2018 17:25;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1104682;5,50E+23;6F3A5A0A;27/09/2018 17:43;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1104019;7,49E+22;C044759D;27/09/2018 17:49;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1103982;4,59E+23;5EC4D04A;27/09/2018 18:07;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1098196;4,99E+23;0C3BC33C;28/09/2018 09:14;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1088716;9,74E+23;C044759D;27/09/2018 17:37;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1077944;4,18E+23;5EC4D04A;27/09/2018 18:02;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1075898;2,26E+23;0C3BC33C;27/09/2018 17:25;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1069630;3,68E+23;6F3A5A0A;27/09/2018 16:35;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1067325;5,50E+23;0C3BC33C;28/09/2018 09:09;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1065029;2,06E+23;5EC4D04A;28/09/2018 09:09;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1061397;4,28E+23;6F3A5A0A;27/09/2018 17:32;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1032962;5,29E+23;6F3A5A0A;27/09/2018 17:49;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1032952;1,76E+23;6F3A5A0A;27/09/2018 18:07;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1031468;7,01E+23;6F3A5A0A;27/09/2018 18:01;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1031233;3,68E+23;C044759D;27/09/2018 18:07;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1031016;9,74E+23;0C3BC33C;27/09/2018 16:35;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1029702;3,98E+23;6F3A5A0A;28/09/2018 09:09;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1029384;9,54E+23;6F3A5A0A;28/09/2018 09:18;*
27/10/2018;14:41:59;229;AC;1473;TARAUACÁ;5;1023710;7,82E+23;6F3A5A0A;27/09/2018 17:25;*
